,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
75,,Proton-K/DM-2 ullage motor (SOZ),01 Jun 2005,Propulsion,2002-037E,61.0,1.0,3104.0,149.0,24 Oct 2018,
76,,Proton-K/DM-2 ullage motor (SOZ),30 Jun 2005,Propulsion,2002-037E,61.0,1.0,3104.0,149.0,24 Oct 2018,
77,,Meteor 2-17,21 Jun 2005,Anomalous,1988-005A,46.0,46.0,,,04 Dec 2017,
78,,H10 (Ariane 44LP H10),17 Feb 1998,Propulsion,1988-109C,17.0,16.0,1599.0,42.0,24 Oct 2018,
79,,H-II LE-5B (H-IIA 2022),27 Aug 2006,Unknown,2006-002B,21.0,,1976.0,51.0,24 Oct 2018,
80,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),22 Jun 2005,Collision,1990-017B,1.0,1.0,,,04 Dec 2017,
81,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),04 May 2006,Propulsion,1985-108B,49.0,1.0,3133.0,119.0,24 Oct 2018,
82,,Proton-K/DM-2 ullage motor (SOZ),10 Jun 2006,Propulsion,1989-039G,119.0,37.0,11652.0,302.0,24 Oct 2018,
83,,Vanguard 3,14 Feb 2006,Anomalous,1959-007A,2.0,,,,04 Dec 2017,
84,,H-II LE-5B (H-IIA 2022),08 Aug 2006,Anomalous,2006-002B,23.0,2.0,,,04 Dec 2017,
85,,Proton-K/DM-2 ullage motor (SOZ),01 Sep 2006,Propulsion,2000-036E,,,,,04 Dec 2017,
86,,Blok-ML (Molniya-M Blok-ML),31 Aug 2006,Aerodynamics,1990-052D,,,,,04 Dec 2017,
87,,Cosmos-2423,17 Nov 2006,Deliberate,2006-039A,30.0,,3178.0,72.0,24 Oct 2018,
88,,Delta IV DCSS 4 (Delta 4M),04 Nov 2006,Unknown,2006-050B,66.0,2.0,3056.0,198.0,24 Oct 2018,
89,,Proton-K/DM-2 ullage motor (SOZ),03 Aug 1998,Propulsion,1989-001G,15.0,5.0,1411.0,37.0,24 Oct 2018,
90,,DELTA K (Delta 5920),03 Dec 2006,Collision,1989-089B,,,,,04 Dec 2017,
91,,H-II LE-5B (H-IIA 202),28 Dec 2006,Unknown,2006-037B,9.0,,847.0,22.0,24 Oct 2018,
92,,Fengyun 1C,11 Jan 2007,Deliberate,1999-025A,3450.0,2806.0,264410.0,5160.0,16 Oct 2020,
93,,Meteor 2-8,01 May 1999,Anomalous,1982-025A,52.0,52.0,,,04 Dec 2017,
