,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
453,,Cosmos 3 second stage (S3) (Cosmos 1 (65S3)),15 Mar 1965,Unknown,1965-020D,146.0,18.0,13729.0,355.0,24 Oct 2018,
454,,NOAA 7,26 Jul 1993,Electrical,1981-059A,8.0,3.0,923.0,24.0,24 Oct 2018,
455,,AMC 9 (GE 12),01 Jul 2017,Unknown,2003-024A,13.0,,,,24 Oct 2018,
456,,IRT,05 Feb 1984,Accidental,1984-011C,2.0,,188.0,5.0,24 Oct 2018,
457,,Cosmos-1365 (NPP),27 Sep 1982,Deliberate,1982-043A,,,,,24 Oct 2018,
458,,Cosmos-1932 (NPP),20 May 1988,Deliberate,1988-019A,2.0,2.0,188.0,5.0,24 Oct 2018,
459,,Cosmos-1670 (NPP),22 Oct 1985,Deliberate,1985-064A,,,,,24 Oct 2018,
460,,Cosmos-1299 (NPP),05 Sep 1981,Deliberate,1981-081A,,,,,24 Oct 2018,
461,,Cosmos-1771 (NPP),15 Oct 1986,Deliberate,1986-062A,,,,,24 Oct 2018,
462,,Cosmos-1860 (NPP),28 Jul 1987,Deliberate,1987-052A,,,,,24 Oct 2018,
463,,Cosmos-1579 (NPP),27 Sep 1984,Deliberate,1984-069A,31.0,31.0,2916.0,76.0,24 Oct 2018,
464,,"OV2 1, LCS 2 main fragment",15 Oct 1965,Propulsion,1965-082C,474.0,33.0,,,04 Dec 2017,
465,,Cosmos-1607 (NPP),01 Feb 1985,Deliberate,1984-112A,,,,,24 Oct 2018,
466,,Cosmos-1677 (NPP),23 Oct 1985,Deliberate,1985-075A,,,,,24 Oct 2018,
467,,Cosmos-1736 (NPP),21 Jun 1986,Deliberate,1986-024A,25.0,,2352.0,62.0,24 Oct 2018,
468,,Cosmos-1176 (NPP),10 Sep 1980,Deliberate,1980-034A,2.0,2.0,188.0,5.0,24 Oct 2018,
469,,Cosmos-1249 (NPP),19 Jun 1981,Deliberate,1981-021A,17.0,17.0,1599.0,42.0,24 Oct 2018,
470,,Cosmos-1900 (NPP),30 Sep 1988,Deliberate,1987-101A,3.0,3.0,282.0,8.0,24 Oct 2018,
471,,Cosmos-1412 (NPP),10 Nov 1982,Deliberate,1982-099A,1.0,1.0,188.0,5.0,24 Oct 2018,
472,,Cosmos-1266 (NPP),29 Apr 1981,Deliberate,1981-037A,1.0,1.0,188.0,5.0,24 Oct 2018,
473,,Cosmos-1372 (NPP),11 Aug 1982,Deliberate,1982-052A,,,,,24 Oct 2018,
474,,Transtage 17 (Titan IIIC),28 Feb 2018,Propulsion,1969-013B,100.0,18.0,28586.0,736.0,24 Oct 2018,
475,,Cosmos-95,15 Jan 1966,Unknown,1965-088A,,,,,04 Dec 2017,
476,,OPS 3031 (Bluebell 2S),15 Feb 1966,Unknown,1966-012C,37.0,,3161.0,91.0,24 Oct 2018,
477,,Cosmos-1813,29 Jan 1987,Deliberate,1987-004A,194.0,,18237.0,470.0,24 Oct 2018,
478,,ATLAS MA-5 (Atlas SLV3),15 Jun 1966,Unknown,1966-046B,50.0,,3130.0,123.0,24 Oct 2018,
479,,PAGEOS 1,12 Jul 1975,Unknown,1966-056A,80.0,3.0,511.0,1604.0,24 Oct 2018,
480,,Fregat operational debris (SBB),12 Feb 2018,Propulsion,2017-086C,90.0,,,,24 Oct 2018,
481,,PAGEOS 1,20 Jan 1976,Unknown,1966-056A,80.0,3.0,511.0,1604.0,24 Oct 2018,
482,,Saturn IVB (S-IB) (Saturn IB),05 Jul 1966,Deliberate,1966-059A,33.0,,3171.0,79.0,24 Oct 2018,
483,,Cosmos U-1 (OGCh),17 Sep 1966,Deliberate,1966-088A,49.0,,3134.0,116.0,24 Oct 2018,
484,,Proton-M/DM-2 ullage motor (SOZ),22 May 2018,Propulsion,2010-007H,60.0,,,,24 Oct 2018,
485,,L-14B-res (YF40B-res) (Long March (CZ) 4C),17 Aug 2018,Propulsion,2013-065B,6.0,4.0,,,24 Oct 2018,
486,,Centaur-5 SEC (Atlas V 401),30 Aug 2018,Propulsion,2014-055B,612.0,612.0,486033.0,12515.0,18 Nov 2020,
487,,R-36-O-2 (Tsyklon SL-10 (F-1r)),02 Nov 1966,Deliberate,1966-101A,,,,,04 Dec 2017,
488,,Centaur-5 SEC (Atlas V 401),25 Mar 2019,Propulsion,2009-047B,60.0,,95361.0,2454.0,01 Apr 2019,
489,,Centaur-5 SEC (Atlas V 551),06 Apr 2019,Propulsion,2018-079B,1100.0,1100.0,873376.0,22486.0,18 Nov 2020,
490,,H-II LE-5B (H-IIA 202),06 Feb 2019,Propulsion,2018-084L,75.0,58.0,3160.0,92.0,18 Nov 2020,
491,,Cosmos-199 equipment bay (Priborniy otsek),24 Jan 1968,Deliberate,1968-003A,,,,,04 Dec 2017,
492,,Saturn IVB (S-V) (Saturn V),13 Apr 1968,Propulsion,1968-025B,15.0,,1411.0,37.0,24 Oct 2018,
493,,Transtage 5 (Titan IIIC),21 Feb 1992,Propulsion,1968-081E,29.0,28.0,46104.0,1187.0,24 Oct 2018,
494,,WorldView-2,18 Jul 2016,Anomalous,2009-055A,9.0,9.0,,,04 Dec 2017,
495,,Cosmos-1823,17 Dec 1987,Electrical,1987-020A,151.0,78.0,28524.0,735.0,24 Oct 2018,
496,,Cosmos-248,01 Nov 1968,Deliberate,1968-090A,4.0,,481.0,10.0,24 Oct 2018,
497,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),12 Feb 2020,Propulsion,1991-056B,96.0,94.0,3076.0,178.0,18 Nov 2020,
498,,Cosmos-249,20 Oct 1968,Deliberate,1968-091A,107.0,38.0,13671.0,268.0,24 Oct 2018,
499,,Cosmos-252,01 Nov 1968,Deliberate,1968-097A,138.0,39.0,17957.0,352.0,24 Oct 2018,
500,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),28 Mar 1969,Unknown,1969-029B,36.0,,3163.0,89.0,24 Oct 2018,
501,,Delta M fragmentation debris,26 Jul 1969,Propulsion,1969-064B,21.0,,,,04 Dec 2017,
502,,Fregat operational debris (SBB),08 May 2020,Propulsion,2011-037B,285.0,284.0,13400.0,347.0,16 Oct 2020,
503,,H-IIA 202 lower payload fairing half (4/4D-LC),12 Jul 2020,Unknown,2018-084C,53.0,,2493.0,65.0,16 Oct 2020,
504,,Resurs-O1 N3,27 Aug 2020,Unknown,1994-074A,45.0,19.0,722.0,19.0,16 Oct 2020,
505,,Agena D (Thorad-Agena D),04 Oct 1969,Unknown,1969-082AB,259.0,62.0,31757.0,818.0,24 Oct 2018,
506,,Agena D (Thorad-Agena D),17 Oct 1970,Unknown,1970-025C,375.0,234.0,50379.0,1298.0,24 Oct 2018,
507,,Cosmos-374,23 Oct 1970,Deliberate,1970-089A,99.0,20.0,11906.0,234.0,24 Oct 2018,
508,,Cosmos-375,30 Oct 1970,Deliberate,1970-091A,46.0,14.0,3141.0,109.0,24 Oct 2018,
509,,Cosmos-397,25 Feb 1971,Deliberate,1971-015A,115.0,43.0,13829.0,271.0,24 Oct 2018,
510,,Cosmos-1866,26 Jul 1987,Deliberate,1987-059A,8.0,,753.0,20.0,24 Oct 2018,
511,,Cosmos-462,03 Dec 1971,Deliberate,1971-106A,26.0,,3128.0,63.0,24 Oct 2018,
512,,DSV-3H-4 (Delta 900),22 May 1975,Propulsion,1972-058B,243.0,46.0,23219.0,598.0,24 Oct 2018,
513,,Proton-K 8S812,03 Apr 1973,Propulsion,1973-017B,24.0,,2258.0,59.0,24 Oct 2018,
514,,Cosmos-554,06 May 1973,Deliberate,1973-021A,192.0,,18050.0,464.0,24 Oct 2018,
515,,DSV-3H-4 (Delta 300),28 Dec 1973,Propulsion,1973-086B,219.0,197.0,42489.0,1094.0,24 Oct 2018,
516,,DELTA P (Delta 2310),20 Aug 1975,Propulsion,1974-089D,184.0,159.0,33447.0,862.0,24 Oct 2018,
517,,Cosmos-699,17 Apr 1975,Unknown,1974-103A,49.0,,3133.0,119.0,24 Oct 2018,
518,,Cosmos-699,02 Aug 1975,Unknown,1974-103A,49.0,,3133.0,119.0,24 Oct 2018,
519,,DELTA P (Delta 2910),09 Feb 1976,Propulsion,1975-004B,206.0,31.0,21967.0,566.0,24 Oct 2018,
520,,DELTA P (Delta 2910),19 Jun 1976,Propulsion,1975-004B,206.0,31.0,21967.0,566.0,24 Oct 2018,
521,,Cosmos-1869,27 Nov 1997,Unknown,1987-062A,,,,,04 Dec 2017,
522,,DELTA P (Delta 2910),01 May 1991,Propulsion,1975-052B,273.0,197.0,37217.0,960.0,24 Oct 2018,
523,,Cosmos-758,06 Sep 1975,Deliberate,1975-080A,75.0,,3071.0,183.0,24 Oct 2018,
524,,Cosmos-777,25 Jan 1976,Unknown,1975-102A,61.0,,3104.0,149.0,24 Oct 2018,
525,,Cosmos-838,17 May 1977,Unknown,1976-063A,39.0,,3156.0,96.0,24 Oct 2018,
526,,Cosmos-839,29 Sep 1977,Electrical,1976-067A,69.0,67.0,3037.0,218.0,24 Oct 2018,
527,,Cosmos-844,25 Jul 1976,Deliberate,1976-072A,247.0,,23215.0,598.0,24 Oct 2018,
528,,DELTA P (Delta 2310),24 Dec 1977,Propulsion,1976-077B,183.0,173.0,35619.0,919.0,24 Oct 2018,
529,,Cosmos-862,15 Mar 1977,Accidental,1976-105A,12.0,4.0,1309.0,34.0,24 Oct 2018,
530,,Cosmos-880,27 Nov 1978,Electrical,1976-120A,48.0,,3135.0,117.0,24 Oct 2018,
531,,Cosmos-884,29 Dec 1976,Deliberate,1976-123A,,,,,04 Dec 2017,
