,Unnamed: 0_x,Unnamed: 0.1,Name_x,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10,Unnamed: 0_y,#JCAT,Satcat,Piece,Type,Name_y,LDate,SDate,Primary,DDate,Status,Owner,State,Manufacturer,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,LYear,DYear,OBJECT_ID,NORAD_CAT_ID,COUNTRY,RCS_SIZE,large_event
315,315,,DMSP Block 5D-2 F9,05 Feb 1988,Electrical,1988-006A,12.0,2.0,800.0,21.0,24 Oct 2018,,18801.0,S18822,18822.0,1988-006A,P           ,DMSP F-9,1988 Feb  3,1988 Feb  3 0604,Earth,2100,O,USAF,US,GEEW,773.0,?,773.0,?,1487.0,?,6.9, ,1.5, ,6.9, ,Box + Pan,1988 Sep  2,819.0, ,     829, ,98.74, ,LEO/S,1988.0,2100.0,1988-006A,18822.0,US,LARGE,1.0
316,316,,Altair 3 (Scout B-1),18 Oct 2005,Anomalous,1965-063B,28.0,27.0,,,04 Dec 2017,,1501.0,S01502,1502.0,1965-063B,P A         ,SEV,1965 Aug 10,1965 Aug 10 1807,Earth,2100,AO,LARCN,US,LARCN,4.0, ,4.0, ,47.0, ,0.2, ,0.5, ,0.5, ,Frust,1966 Feb 10,1134.0, ,    2425, ,69.24, ,MEO,1965.0,2100.0,1965-063B,1502.0,US,MEDIUM,1.0
317,317,,"Delta IV DCSS 4 (Delta 4M+(4,2))",22 May 2014,Anomalous,2014-026B,14.0,,,,04 Dec 2017,,39720.0,S39742,39742.0,2014-026B,R2          ,Delta 366,2014 May 17,2014 May 17 0018,Earth,2100,O,ULAB,US,BOHB,2850.0, ,2850.0, ,2850.0, ,12.0, ,4.0, ,12.0, ,Cyl+cone,2014 May 20,20400.0,?,20500,?,55.0,?,MEO,2014.0,2100.0,2014-026B,39742.0,US,LARGE,1.0
318,318,,RADCAL,21 Jun 2009,Unconfirmed,1993-041A,4.0,3.0,,,04 Dec 2017,,22676.0,S22698,22698.0,1993-041A,P           ,RADCAL,1993 Jun 25,1993 Jun 25 2346,Earth,2100,O,WSMC,US,CTA,87.0, ,87.0, ,87.0, ,0.4, ,0.8, ,6.1, ,Cyl + Ant,1993 Aug  4,754.0, ,     887, ,89.56, ,LEO/P,1993.0,2100.0,1993-041A,22698.0,US,MEDIUM,0.0
319,319,,Tiros N,23 Feb 1996,Electrical,1978-096A,7.0,2.0,808.0,21.0,24 Oct 2018,,11051.0,S11060,11060.0,1978-096A,P           ,Tiros-N,1978 Oct 13,1978 Oct 13 1133,Earth,2100,O,GSFC,US,RCA,675.0, ,675.0, ,1405.0, ,3.7, ,1.9, ,4.9, ,Box + Pan,1978 Nov 12,847.0, ,     865, ,98.92, ,LEO/S,1978.0,2100.0,1978-096A,11060.0,US,LARGE,0.0
320,320,,Transit 11 (NNS O-7),15 Jul 1983,Anomalous,1966-005A,6.0,1.0,,,04 Dec 2017,,1951.0,S01952,1952.0,1966-005A,P           ,NNS O-7,1966 Jan 28,1966 Jan 28 1719?,Earth,2100,O,USN,US,NAFI,50.0,?,50.0,?,50.0,?,0.3, ,0.5, ,30.0, ,Oct Cyl + 4 Pan + Ant,1966 May 30,864.0, ,    1210, ,89.7, ,LEO/P,1966.0,2100.0,1966-005A,1952.0,US,LARGE,0.0
321,321,,Seasat 1,05 Oct 1987,Anomalous,1978-064A,16.0,,,,04 Dec 2017,,10958.0,S10967,10967.0,1978-064A,P           ,Seasat 1,1978 Jun 27,1978 Jun 27,Earth,2100,O,NASA/JPL,US,LMSC,1290.0,?,1290.0,?,2290.0, ,12.0, ,1.5, ,12.0, ,Cyl + 3 Pan,1978 Aug  4,775.0, ,     797, ,108.02, ,LEO/R,1978.0,2100.0,1978-064A,10967.0,US,LARGE,1.0
322,322,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),15 Nov 1990,Anomalous,1964-053B,1.0,1.0,,,04 Dec 2017,,876.0,S00877,877.0,1964-053B,R3          ,8A92E,1964 Aug 28,1964 Aug 28 1610?,Earth,2100,O,RVSN,SU,PROG,1440.0, ,1440.0, ,1440.0, ,3.8, ,2.6, ,3.8, ,Cyl,1964 Oct 11,686.0, ,     791, ,65.09, ,LEO/I,1964.0,2100.0,1964-053B,877.0,CIS,LARGE,0.0
323,323,,Nimbus 2,08 Nov 1997,Anomalous,1966-040A,56.0,56.0,,,04 Dec 2017,,2172.0,S02173,2173.0,1966-040A,P           ,Nimbus 2,1966 May 15,1966 May 15 0852,Earth,2100,O,GSFC,US,GEVF,414.0, ,414.0, ,414.0, ,3.6, ,1.4, ,3.6, ,Cone + 2 Pan,1966 Jun 23,1101.0, ,    1178, ,100.3, ,LEO/S,1966.0,2100.0,1966-040A,2173.0,US,LARGE,1.0
324,324,,Transit 19 (NNS 19),07 Mar 1998,Anomalous,1970-067A,1.0,,,,04 Dec 2017,,4506.0,S04507,4507.0,1970-067A,P           ,NNS O-19,1970 Aug 27,1970 Aug 27 1340?,Earth,2100,O,USN,US,RCA,64.0,?,64.0,?,64.0,?,0.3, ,0.5, ,30.0, ,Oct Cyl + 4 Pan + Ant,1970 Sep 28,952.0, ,    1222, ,90.03, ,LEO/P,1970.0,2100.0,1970-067A,4507.0,US,LARGE,0.0
